"Decision by","Case number/name",Jurisdiction,"Date of decision","Relevant GDPR articles","Relevant EU laws","Relevant national/other laws","Type of decision & outcome",Fine,Parties,Contributor,Summary
"DPA: Datatilsynet (Denmark)","No. 2019-31-2071",Denmark,29.08.2022,"15(1), 15(3), 15(4)",,,"Complaint → Rejected",,"Reto Moto",'-,"In an Article 60 GDPR procedure, the Danish DPA determined that a game developer did not have to provide anti-cheat information to a gamer who had filed an access request. The DPA also determined that the game developer only had to provide a copy of in-game chat messages that were sent directly to, and by, the data subject. It did not have to disclose other in-game chat messages, pursuant to Article 15(4) GDPR."
"DPA: BlnBDI (Berlin)","631.457.4 521.14765.10",Germany,09.08.2022,"12(3), 15(3), 17(1), 58(2)(b), 6",,,"Complaint → Upheld",,Healy,mgrd,"In an Article 60 GDPR decision, the Berlin DPA reprimanded a controller for the violation of Articles 6, 12(3) and 17 GDPR. In order to comply with an erasure request, the controller requested the data subject to log in with her customer account, which she did not have, because she was never a customer."
"DPA: Datatilsynet (Norway)",0/02422,Norway,06.02.2023,"5(1)(e), 5(1)(a), 6(1), 12, 12(1), 12(3), 13, 15, 17, 58(2)(i), 60(3)",,,"Investigation → Violation Found","10000000 NOK","SATS Norway AS
SATS ASA","Rie Aleksandra Walle","The Norwegian DPA fined the fitness chain 'SATS' close to €1,000,000 for not responding to access and erasure requests on time, for providing insufficient information, and for monitoring members' training history without a legal basis."
"Court: Personvernnemnda (Norway)","2022-13 (21/00481)",Norway,24.01.2023,"5(1)(f), 24, 32, 58(2)(d), 58(2)(i), 83",,"Personal Data Act § 26(1)","Complaint → Rejected","4000000 NOK","Østre Toten municipality","Rie Aleksandra Walle","The Norwegian Privacy Appeals Board upheld the DPA's decision to fine a municipality €352,555 for violating Article 5(1)(f), Article 24 and Article 32 GDPR after a serious ransomware attack led to highly sensitive personal data being irreparably lost and sold on the dark web."
"Court: BVwG","W101 2218962-2",Austria,16.01.2023,"4, 6",,"Austrian Constitution",,,,LR,"Following a decision from the Austrian Constitutional Court, the Federal Administrative Court found that the processing of a spouse’s personal financial data, for the purposes of calculating maintenance entitlement in divorce proceedings, is lawful in accordance with Article 6(1)(f) GDPR."
"DPA: CNPD (Luxembourg)",18/FR/2022,Luxembourg,13.12.2022,"5(1)(b), 5(1)(a), 6(1)(c), 6(1)(f), 12, 15, 58(2), 83(2)",,,"Investigation → Violation Found","1500 EUR",,ls,"The Luxembourg DPA fined the building manager of a co-ownership property €1,500 for communicating accounting data and private addresses of some co-owners to the other co-owners to warn them about payment irregularities."
"DPA: Garante per la protezione dei dati personali (Italy)",9845156,Italy,15.12.2022,"5, 9, 13, 14, 35, 58, 82",,,"Investigation → Violation Found","55000 EUR",,LR,"The Italian DPA fined a health authority €55,000 for the unlawful processing of special category health data. The controller sought to compile a list of patients vulnerable to major complications from Covid-19 infection."
"DPA: UODO (Poland)",DKN.5131.31.2021,Poland,,"5(1)(a), 28(1), 28(3), 28(9), 33(1), 34(1), 34(2)",,,"Investigation → Violation Found","1556 PLN",,kiki,"The Polish DPA imposed a fine of approximately €340 on a housing association for failing to inform the DPA and all affected data subjects of a personal data breach."
"DPA: APD/GBA (Belgium)",06/2023,Belgium,02.02.2023,"15(1)(a), 15(1)(c)",,,"Complaint → Partly Upheld",,,'-,"The Belgian DPA ordered a controller to comply with an access request pursuant to Article 58(2)(c) GDPR. The DPA determined that the controller was responsible for not receiving the data subject's request due to technical problems with its email inbox."
"DPA: AKI (Estonia)",2.1-3/22/2542,Estonia,08.12.2023,,,"§ 45 (1)(3) AvTS
§ 51 (1)(3)
§ 51 (1)(7)
§ 75ˇ1(4) VVS
§ 85(2) HMS",Other,,"Eesti Ehitusinseneride Liit MTÜ
OÜ Advokaadibüroo Tehver & Partnerid","Norman Aasma","The Estonian DPA held that, when responding requests for access to information, professional entities must carry out a thorough balancing exercise to assess whether the personal data they hold are of public interest or are covered by the inviolability of private life, justifying any restriction to the access to information."
"DPA: NAIH (Hungary)",NAIH-2732-2-2023,Hungary,06.02.2023,"5(1)(a), 5(1)(b), 5(1), 6(1), 13(1), 13(2), 24, 25, 32(1)(b), 32(2)",,,"Investigation → Violation Found","30000000 HUF",,"Ábel Kaszián","The Hungarian DPA held a beauty salon liable for major GDPR infringements including cameras monitoring employees and clients, the mishandling of sensitive data and the use of data for marketing purposes without proper consent. The DPA imposed a fine of €80,000."
"DPA: Garante per la protezione dei dati personali (Italy)",9852214,Italy,02.02.2023,"5, 6, 8, 9, 13, 58(1), 58(2)(f)",,,"Investigation → Violation Found",,,'-,"Under Article 58(2)(f) GDPR, the Italian DPA imposed a temporary limitation on processing of an AI-powered ChatBot. The privacy policy did not clarify which legal basis had been relied upon by the company, particularly for processing of underage users. The DPA also held that no age verification mechanism was in place."
"DPA: AEPD (Spain)",PS-00028-2022,Spain,,"5(1)(f), 32, 33",,"72, 73, 77 Spanish Data Protection Act","Complaint → Upheld",,"Getafe City Council",Mapez,"The Spanish DPA imposed a warning to a local administration for violating Articles 5(1)(f), 32 and 33 GDPR. The administration had mistakenly published an Excel sheet containing personal data, which was also not properly removed after the data subject notified both the administration and the DPA."
"Court: FG München","Auskunftsanspruch nach Art. 15 DSGVO",Germany,03.02.2023,15(3),,"§ 91 AO",,,"Bank
Tax Office","Norman Aasma","A data subject cannot have access to information under Article 15 GDPR on tax assessments if the data goes beyond the input data."
"DPA: NAIH (Hungary)",NAIH-3195-11/2022,Hungary,30.01.2023,"5(1)(a), 5(1)(b), 6(1), 12(1), 13",,,"Investigation → Violation Found","10000000 HUF","TV2 Média Csoport Zrt.
TV2 Média Csoport Zrt.","Abel Kaszian","The Hungarian DPA fined a media provider 10,000,000 HUF (approx. €25,650) for, among other things, failing to properly inform data subjects about the processing on its websites and for confusingly using the term ""legitimate interest"" without referring to its meaning under the GDPR."
"DPA: ANSPDCP (Romania)","Sanction against Tensa Art Design SA",Romania,,21(3),,,"Investigation → Violation Found","1000 EUR","Tensa Art Design SA",carlafilip,"The Romanian DPA fined a controller €1,000 for transmitting unsolicited communications after a data subject had used their right to object in violation of Article 21(3) GDPR."
"DPA: DSB (Austria)","W101 2218962-2/33E",Austria,16.01.2023,,,"Article 133 (4) B-VG
Article 2 of the Basic Law
Article 7 of the Federal Constitutional Law
Section 1 (1) of the Austrian Data Protection Act 2000
Section 24 (1) and (5) DSG
Section 28(2) VwGVG","Complaint → Rejected",,,"Leah Fielden","The complainant in the case at hand (the husband) incurred an obligation to disclose his assets as well as income to his wife as a beneficiary of maintenance in the course of divorce proceedings. This did not lead to a violation of the complainant's right to confidentiality by the processing of his personal data."
"DPA: ANSPDCP (Romania)","Press Release 31/01/2023",Romania,,"6(1)(a), 9(2)(a), 33",,,"Investigation → Violation Found","1000 RON",,'-,"The Romanian DPA fined a dental practice and a dentist 4,919 lei (approx. €1000) each. The dentist had published a patient's personal data in a medical blog without explicit consent. The dental practice had failed to inform the DPA within 72 hours of being informed of the data breach contrary to the requirements of Article 33 GDPR."
"DPA: APD/GBA (Belgium)",04/2023,Belgium,25.01.2023,"5(1)(c), 5(2), 12(2), 17(1)",,,"Complaint → Upheld",,,"Enzo Marquet","The DPA determined that the controller breached Articles 5(2), 12(2) and 17(1) GDPR, because it was unable to remove the data subject's e-mail from its mailing list. The DPA ordered the controller to comply with the erasure request pursuant of Article 58(2)(c) GDPR."
"Court: KamR Stockholm","Mål nr 1552-22",Sweden,26.01.2023,"5, 5(1)(a), 5(1)(c), 6(1)(f), 13, 14",,,,,"Storstockholms Lokaltrafik (SL)
Integritetsmyndigheten (IMY)",Pantalaimon1337,"The wording of Article 13  suggests that some kind of deliberate action by the data subject to be regarded as having been collected from him. This cannot be the case when personal data are collected by means of  the body-worn cameras in question."
"DPA: Garante per la protezione dei dati personali (Italy)",9861289,Italy,23.01.2023,"5(1)(f), 9, 32",,,"Investigation → Violation Found","5000 EUR","Azienda ULSS","Bernardo Armentano","The Italian DPA fined a hospital €5.000 for mistakenly disclosing the data subject’s health data to an unauthorised third party in violation of Articles 5(1)(f), 9 and 32 GDPR."
"DPA: Garante per la protezione dei dati personali (Italy)",9863050,Italy,,"4, 5, 9, 32",,,"Complaint → Upheld","7000 EUR","Azienda Ospedaliera Bianchi Melacrino Morelli",DB,"X received a third party medical reports from an Italian Hospital. Counter operators sent reports by e-mail in the Covid-19 period contrary to the indication to only deliver them personally. The Italian DPA declares the unlawfulness processing and orders to pay €7,000."
"DPA: Garante per la protezione dei dati personali (Italy)",9867661,Italy,26.01.2023,"17(1)(c), 58(2)(a), 58(2)(c), 58(2)(g)",,,"Complaint → Upheld",,"Il Sole 24 Ore S.p.a.
Società Editoriale Il Fatto S.p.a
Mr. XX",Kevin,"In the context of an erasure request under Article 17 GDPR, the Italian DPA ordered two online newspapers to take action in order to ensure the delisting of their publications from external search engines, insofar as the data subject's name was used as a keyword for the search."
"DPA: DSB (Austria)",2022-0.876.190,Austria,15.12.2022,"6(1), 55(1), 55(2), 56",,,"Complaint → Other Outcome",,,'-,"The Austrian DPA dismissed a complaint of a data subject against an embassy on the Austrian territory due to a lack in authority pursuant to Article 55(2) GDPR and the diplomatic immunity enshrined in international law."
"DPA: EDPB","Whatsapp Ireland Limited - Decision 5/2022","European Union",05.12.2022,"4, 5, 6, 7, 9, 12, 13, 21, 24, 56, 58, 60, 65, 77, 79, 83",,,Other,,"German Whatsapp user (represented by noyb - European Centre for Digital Rights)
Whatsapp Ireland Limited",LR,"Following a referral under the Article 60 GDPR procedure, on a case initiated by noyb, the EDPB issued a binding decision finding Whatsapp IE’s processing of personal data for “service improvements” and “security” to be unlawful."
"DPA: Tietosuojavaltuutetun toimisto (Finland)",3116/163/20,Finland,18.01.2023,"5(1), 12(1), 13(1)(c)",,"1050/2018 Data Protection Act","Investigation → Violation Found",,,"Eetu Salpaharju","After circulating a survery to parents regarding changes to learning and teaching in the COVID-19 pandemic, a pre-school was found to have violated Articles 5, 12 and 13 GDPR. The investigation discovered that it was not made clear whether returning the form was mandatory, and information specifying the legal basis for processing of personal data was not provided."
"Court: LAG Nürnberg","4 Sa 201 22",Germany,25.01.2023,"15, 82(1), 83(5)(b)",,,,,,Julia,"The State Labour Court Nürnberg held that compensation for non-material damages under Article 82(1) GDPR in connection to a violation of Article 15 GDPR can only be sought in the case of unlawful data processing,  and not in the case of delayed or omitted information provision."
"DPA: CNPD (Luxembourg)",16FR/2022,Luxembourg,07.07.2022,"5(1)(c), 13",,,"Investigation → Violation Found",10000,,ls,"The Luxembourg DPA fined a bank institution €10,000 for using surveillance cameras without sufficiently informing the data subjects and filming some of them continuously. The above was in breach of Article 5(1)(c) and Article 13 GDPR."
"Court: LG Wiesbaden","10 O 14/21",Germany,22.01.2023,"4(11), 6(1), 26, 47",,"§ 1004 BGB",,,,'-,"The Regional Court Wiesbaden held a data subject could not make a claim for injunctive relief for an alleged violation of his data subject rights because the GDPR does not allow such claims and leaves no room for a national provision in civil law."
"DPA: Datatilsynet (Denmark)",INC000003185717,Denmark,13.06.2022,32(1),,,Other,,"Danske Bank",'-,"In an Article 60 GDPR procedure, the Danish DPA reprimanded Dankse bank for a violation of Article 32(1) GDPR. A technical error resulted in the unauthorised disclosure of invoices to business customers of the bank."
